Date,Adj Close SPY
10/5/2006,133.44
10/6/2006,133.27
10/9/2006,133.35
10/10/2006,133.52
10/11/2006,133.37
10/12/2006,134.52
10/13/2006,134.87
10/16/2006,135.07
10/17/2006,134.65
10/18/2006,134.83
10/19/2006,135.04
10/20/2006,135.07
10/23/2006,135.7
10/24/2006,136.1
10/25/2006,136.56
10/26/2006,136.99
10/27/2006,136.13
10/30/2006,136.03
10/31/2006,136.01
11/1/2006,135.09
11/2/2006,135.01
11/3/2006,134.78
11/6/2006,136.3
11/7/2006,136.82
11/8/2006,137.12
11/9/2006,136.4
11/10/2006,136.46
11/13/2006,136.79
11/14/2006,137.82
11/15/2006,138.21
11/16/2006,138.57
11/17/2006,138.61
11/20/2006,138.69
11/21/2006,138.82
11/22/2006,139.1
11/24/2006,138.54
11/27/2006,136.63
11/28/2006,137.23
11/29/2006,138.66
11/30/2006,138.72
12/1/2006,138.41
12/4/2006,139.47
12/5/2006,140.07
12/6/2006,139.95
